"heading","guestCapacity","startingPrice","address","phoneNumber","emailAddresses","websiteLink","knotPageLink","category","location"
"Dalrymple Farms","Up to 300","N/A","555 County Road 720, Enterprise, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/dalrymple-farms-enterprise-al-2020105","wedding-reception-venues","Jefferson, AL"
"By His Design","Up to 100","N/A","135 North Foster Street, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/by-his-design-dothan-al-631881","wedding-reception-venues","Jefferson, AL"
"Boots and Veils Weddings and More, LLC","Up to 250","N/A","850 County Road 684, Chancellor, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/boots-and-veils-weddings-and-more-llc-chancellor-al-2033280","wedding-reception-venues","Jefferson, AL"
"The Legion at Riverview","Up to 200","N/A","2187 County Road 31, Camden, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-legion-at-riverview-camden-al-2054849","wedding-reception-venues","Jefferson, AL"
"Thornfield Plantation","Up to 250","N/A","79 Thornfield Dr, Millbrook, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/thornfield-plantation-millbrook-al-830084","wedding-reception-venues","Jefferson, AL"
"Bella's Fine Dining/Bella's Ballroom","N/A","N/A","191 North Foster Street, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bellas-fine-diningbellas-ballroom-dothan-al-1085004","wedding-reception-venues","Jefferson, AL"
"The Venue at White City","Up to 250","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-venue-at-white-city-prattville-al-2031843","wedding-reception-venues","Jefferson, AL"
"Kick Back Ranch & Event Center","300+","N/A","414 Union Academy Ada Road, Ramer, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/kick-back-ranch-and-event-center-ramer-al-2037037","wedding-reception-venues","Jefferson, AL"
"Wynlakes Golf & Country Club","300+","N/A","7900 Wynlakes Blvd, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/wynlakes-golf-and-country-club-montgomery-al-397361","wedding-reception-venues","Jefferson, AL"
"New Water Farms","Up to 300","N/A","460 Civitan Road, Dadeville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/new-water-farms-dadeville-al-1032357","wedding-reception-venues","Jefferson, AL"
"Old Town Creek Farm","Up to 200","N/A","830 County Road 23, Hardaway, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/old-town-creek-farm-hardaway-al-2041248","wedding-reception-venues","Jefferson, AL"
"Black Thistle Plantation","N/A","N/A","3781 County Rd 432, Sardis, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/black-thistle-plantation-sardis-al-1022628","wedding-reception-venues","Jefferson, AL"
"The Cedars","300+","N/A","21765 US-80, Demopolis, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-cedars-demopolis-al-2057410","wedding-reception-venues","Jefferson, AL"
"Rustic Acres","N/A","N/A","291 Moore Road, Ramer, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/rustic-acres-ramer-al-965651","wedding-reception-venues","Jefferson, AL"
"Autauga Place","Up to 250","N/A","202 S Autauga St, Autaugaville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/autauga-place-autaugaville-al-335997","wedding-reception-venues","Jefferson, AL"
"The Orchard on Washington","N/A","N/A","Birmingham, Auburn, Lake Martin","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-orchard-on-washington-alexander-city-al-2062842","wedding-reception-venues","Jefferson, AL"
"Woodham Farms","Up to 250","N/A","1103 County Road 68, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/woodham-farms-dothan-al-874189","wedding-reception-venues","Jefferson, AL"
"The Cabin at Camp David","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-cabin-at-camp-david-prattville-al-996118","wedding-reception-venues","Jefferson, AL"
"The Depot off Main","Up to 200","N/A","110 Museum Avenue, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-depot-off-main-dothan-al-348165","wedding-reception-venues","Jefferson, AL"
"Whitewater Ridge","N/A","N/A","395 Waters Edge, Wetumpka, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/whitewater-ridge-wetumpka-al-536469","wedding-reception-venues","Jefferson, AL"
"Wilkes Cove","N/A","N/A","4950 South County Rd 20, Ozark, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/wilkes-cove-ozark-al-1064865","wedding-reception-venues","Jefferson, AL"
"The Hitching Post Farms","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-hitching-post-farms-eclectic-al-1029018","wedding-reception-venues","Jefferson, AL"
"Landmark Park - Stokes Activity Barn","Up to 300","N/A","430 Landmark Dr, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/landmark-park-stokes-activity-barn-dothan-al-545515","wedding-reception-venues","Jefferson, AL"
"The Chapel at The Waters","N/A","N/A","1 Chapel Hill Street, Pike Road, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-chapel-at-the-waters-pike-road-al-1037419","wedding-reception-venues","Jefferson, AL"
"Montgomery Marriott Prattville at Capitol Hill","300+","N/A","2500 Legends Circle, Prattville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/montgomery-marriott-prattville-at-capitol-hill-prattville-al-115879","wedding-reception-venues","Jefferson, AL"
"Wiregrass Museum of Art Conference Center","N/A","N/A","126 Museum Ave, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/wiregrass-museum-of-art-conference-center-dothan-al-893883","wedding-reception-venues","Jefferson, AL"
"Oakfuskee Ryse Preserve","Up to 200","N/A","1156 Judkins Road, Cecil, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/oakfuskee-ryse-preserve-cecil-al-1024468","wedding-reception-venues","Jefferson, AL"
"Jordan's Activity Barn","N/A","N/A","10551 County Rd 59 S, Midland, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/jordans-activity-barn-midland-al-1045481","wedding-reception-venues","Jefferson, AL"
"K3 Photography","N/A","N/A","Serving the entire Alabama state and panhandle region","+1(205) 826-2103","[""k3photography.creative@gmail.com""]","https://www.k3weddings.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/k3-photography-montgomery-al-2058405","wedding-photographers","Jefferson, AL"
"Monica Jeane Photography LLC","N/A","N/A","Alabama","+1(916) 833-8803","[""monicajeanephotography@gmail.com""]","https://www.monicajeanephotography.com/","https://www.theknot.com/marketplace/monica-jeane-photography-llc-newton-al-2053528","wedding-photographers","Jefferson, AL"
"Blooming Heart Photography","N/A","N/A","Central Alabama ➡ Anywhere!","+1(616) 334-4904","[""sabrina@bloomingheartphoto.com""]","https://www.bloomingheartphoto.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/blooming-heart-photography-wetumpka-al-2029236","wedding-photographers","Jefferson, AL"
"This Bliss Photography","N/A","N/A","Willing To Travel Anywhere","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/this-bliss-photography-jacksonville-fl-2058849","wedding-photographers","Jefferson, AL"
"Kayleigh Grace Photography","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/kayleigh-grace-photography-prattville-al-2056792","wedding-photographers","Jefferson, AL"
"Coco's Photography","N/A","N/A","Available to travel","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/cocos-photography-greenville-al-2067142","wedding-photographers","Jefferson, AL"
"Everlasting Images","N/A","N/A","main street, Greenville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/everlasting-images-greenville-al-2078163","wedding-photographers","Jefferson, AL"
"Kim Box Photography","N/A","N/A","1717 Norman Bridge Rd, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/kim-box-photography-montgomery-al-257927","wedding-photographers","Jefferson, AL"
"Megan Steele Photography","N/A","N/A","Dothan, AL based, ready to travel!","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/megan-steele-photography-dothan-al-2080463","wedding-photographers","Jefferson, AL"
"Jackie+Luke","N/A","N/A","1254 S. Hull St, MONTGOMERY, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/jackie+luke-montgomery-al-366166","wedding-photographers","Jefferson, AL"
"Shae Holley Photography","N/A","N/A","Serving All Areas","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/shae-holley-photography-montgomery-al-353053","wedding-photographers","Jefferson, AL"
"T. Darley Photography","N/A","N/A","United States","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/t-darley-photography-ozark-al-628429","wedding-photographers","Jefferson, AL"
"Destiny’s Creations Photography","N/A","N/A","Available For Travel","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/destinys-creations-photography-dothan-alabama-al-2025417","wedding-photographers","Jefferson, AL"
"Emily Barrentine Photography","N/A","N/A","Tri-State Area","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/emily-barrentine-photography-dothan-al-2068343","wedding-photographers","Jefferson, AL"
"Krisan Hood Photography","N/A","N/A","Can Travel Anywhere (fees apply)","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/krisan-hood-photography-tallassee-al-2033186","wedding-photographers","Jefferson, AL"
"Nick Drollette Photography","N/A","N/A","6621 Rock Ledge Road, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/nick-drollette-photography-montgomery-al-659309","wedding-photographers","Jefferson, AL"
"Kenn Edwards Photography","N/A","N/A","Serving areas in Alabama","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/kenn-edwards-photography-montgomery-al-2059505","wedding-photographers","Jefferson, AL"
"In a pinch pictures","N/A","N/A","Willing to travel anywhere (Fees apply)","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/in-a-pinch-pictures-dothan-al-2037015","wedding-photographers","Jefferson, AL"
"Anna Findley Photography","N/A","N/A","Alabama & surrounding states","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/anna-findley-photography-greenville-al-2040523","wedding-photographers","Jefferson, AL"
"Judy Barranco Photography","N/A","N/A","Montgomery,  Auburn, Prattville, Troy, Birmingham","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/judy-barranco-photography-montgomery-al-1011568","wedding-photographers","Jefferson, AL"
"Leigh Anne O'Neal","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/leigh-anne-oneal-dothan-al-877989","wedding-photographers","Jefferson, AL"
"Mastro Photography","N/A","N/A","Lower Alabama & The Florida Panhandle","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/mastro-photography-florala-al-2066045","wedding-photographers","Jefferson, AL"
"Bleu Ivy Photography","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bleu-ivy-photography-montgomery-as-588561","wedding-photographers","Jefferson, AL"
"Short Stuff Photography","N/A","N/A","119 S Foster St  
Ste 102, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/short-stuff-photography-dothan-al-1042218","wedding-photographers","Jefferson, AL"
"Chelsea & Russ Photo and Video","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/chelsea-and-russ-photo-and-video-montgomery-al-2055966","wedding-photographers","Jefferson, AL"
"Country Road Clicks","N/A","N/A","Trinity St., Geneva, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/country-road-clicks-geneva-al-640230","wedding-photographers","Jefferson, AL"
"Mandy Alverson Photography","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/mandy-alverson-photography-montgomery-al-643981","wedding-photographers","Jefferson, AL"
"Clara Mellown Photography","N/A","N/A","Southeastern U.S. (available for travel worldwide)","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/clara-mellown-photography-prattville-al-1023972","wedding-photographers","Jefferson, AL"
"Mark Broadway Photography","N/A","N/A","Southeastern United States","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/mark-broadway-photography-dothan-al-385210","wedding-photographers","Jefferson, AL"
"Penni Lauren Photography","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/penni-lauren-photography-montgomery-al-762723","wedding-photographers","Jefferson, AL"
"Stone Images Photography","N/A","N/A","799 Pleasant Hill Road, Eclectic, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/stone-images-photography-eclectic-al-342429","wedding-photographers","Jefferson, AL"
"Bokeh Amore Photography","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bokeh-amore-photography-montgomery-al-520274","wedding-photographers","Jefferson, AL"
"Wayne Grayson Photography","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/wayne-grayson-photography-dothan-al-1061890","wedding-photographers","Jefferson, AL"
"Courtney Davies Photography & Design","N/A","N/A","N/A","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/courtney-davies-photography-and-design-prattville-al-963241","wedding-photographers","Jefferson, AL"
"Southern Portraiture","N/A","N/A","726 County Rd. 48, Slocomb, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/southern-portraiture-slocomb-al-846674","wedding-photographers","Jefferson, AL"
"Chanterelle Photography","N/A","N/A","Montgomery AL, travel throughout the South and destination","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/chanterelle-photography-montgomery-al-600856","wedding-photographers","Jefferson, AL"
"Shelby Roberts Photography","N/A","N/A","57 Diamond Avenue, Fort Rucker, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/shelby-roberts-photography-fort-rucker-al-612550","wedding-photographers","Jefferson, AL"
"Photography By Lyn","N/A","N/A","631 Coosa River Parkway, Wetumpka, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/photography-by-lyn-wetumpka-al-1026447","wedding-photographers","Jefferson, AL"
"M. Messer TV","N/A","Starting Cost: $$ – Affordable","AL","+1(334) 468-3205","[""micahjamesmesser@gmail.com""]","https://www.mmesser.tv/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/m-messer-tv-smiths-station-al-2083049","wedding-videographers","Jefferson, AL"
"Entertainment Plus","N/A","N/A","Alabama, Florida, Georgia","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/entertainment-plus-hartford-al-2047100","wedding-videographers","Jefferson, AL"
"Jack Temple Video Production","N/A","N/A","Alabama & North Florida, Atlanta, Georgia","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/jack-temple-video-production-montgomery-al-525608","wedding-videographers","Jefferson, AL"
"Nostalgia Corp","N/A","N/A","Alabama, Georgia, Florida, Tennessee, Mississippi, Anywhere","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/nostalgia-corp-alexander-city-al-1039085","wedding-videographers","Jefferson, AL"
"LMG Advertising Agency","N/A","N/A","AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/lmg-advertising-agency-alexander-city-al-2030436","wedding-videographers","Jefferson, AL"
"Dan Black Studios","N/A","N/A","5965 Monticello Dr., Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/dan-black-studios-montgomery-al-397373","wedding-videographers","Jefferson, AL"
"Press Play Media Group","N/A","N/A","Montgomery, Birmingham, Atlanta, Gulf Coast and beyond","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/press-play-media-group-montgomery-al-949186","wedding-videographers","Jefferson, AL"
"Dream Away Studios, LLC","N/A","N/A","123 Anywhere, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/dream-away-studios-llc-dothan-al-611957","wedding-videographers","Jefferson, AL"
"Hi-Def Videography","N/A","N/A","108 Gloster Ct, Dothan, FL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/hidef-videography-dothan-fl-199462","wedding-videographers","Jefferson, AL"
"Rareform Cinematic Films","N/A","N/A","7312 Fairway Drive, Pike Road, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/rareform-cinematic-films-pike-road-al-891294","wedding-videographers","Jefferson, AL"
"Timeless Bride and Ink","N/A","N/A","6462 Pinebrook Dr, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/timeless-bride-and-ink-montgomery-al-665013","wedding-videographers","Jefferson, AL"
"I Do Bridal and Formal","N/A","N/A","2002 Mulberry St, Montgomery, AL","+1(334) 272-6027","[""jlc.idobridalformal@gmail.com""]","http://www.idobridalformal.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/i-do-bridal-and-formal-montgomery-al-959801","bridal-salons","Jefferson, AL"
"Jim Massey's Cleaners","N/A","N/A","531 East South Street, Montgomery, AL","+1(334) 262-8852","[""tiffanyann@jimmassey.com""]","http://www.jimmassey.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/jim-masseys-cleaners-montgomery-al-628257","bridal-salons","Jefferson, AL"
"Carriage House Weddings","N/A","N/A","241 Rele Street, Birmingham, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/carriage-house-weddings-birmingham-al-663956","bridal-salons","Jefferson, AL"
"The Locker Room","N/A","N/A","1717 Carter Hill Road, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/the-locker-room-montgomery-al-1087536","bridal-salons","Jefferson, AL"
"Bridal Boutique & Tux Shoppe","N/A","N/A","125 West Main Street, Prattville, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bridal-boutique-and-tux-shoppe-prattville-al-359829","bridal-salons","Jefferson, AL"
"All About Weddings","N/A","N/A","7750 Atlanta Highway, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/all-about-weddings-montgomery-al-107654","bridal-salons","Jefferson, AL"
"Admiring Glances","N/A","N/A","1112 Boll Weevil Circle, Enterprise, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/admiring-glances-enterprise-al-118372","bridal-salons","Jefferson, AL"
"Bridal Elegance and Pageant Perfect","N/A","N/A","2964 Ross Clark Circle, Dothan, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/bridal-elegance-and-pageant-perfect-dothan-al-576236","bridal-salons","Jefferson, AL"
"Jim Massey's Formals","N/A","N/A","531 East South Street, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/jim-masseys-formals-montgomery-al-837476","bridal-salons","Jefferson, AL"
"Hair and Make up by Anna Michael","N/A","N/A","31 Wisteria Place, Millbrook, AL","+1(334) 322-3142","[""hmbyannamichael@yahoo.com""]","https://www.instagram.com/hm_byannamichael/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/hair-and-make-up-by-anna-michael-millbrook-al-2050852","beauty-services","Jefferson, AL"
"Notably Natalie","N/A","N/A","AL, GA, FL, & Surrounding States","+1(334) 734-1214","[""nataliekillmaster@yahoo.com""]","https://www.instagram.com/notably.natalie/?locale=uken1&hl=am-et&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.theknot.com/marketplace/notably-natalie-auburn-al-2087460","beauty-services","Jefferson, AL"
"Lauren Greathouse Beauty","N/A","N/A","South Alabama, Northwest Florida","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/lauren-greathouse-beauty-andalusia-al-2072934","beauty-services","Jefferson, AL"
"Phoenix Salon and Spa","N/A","N/A","6311 Atlanta Hwy, Montgomery, AL","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/phoenix-salon-and-spa-montgomery-al-638429","beauty-services","Jefferson, AL"
"Beauty by Bailey","N/A","N/A","I am willing to travel anywhere.","N/A","[""N/A""]","N/A","https://www.theknot.com/marketplace/beauty-by-bailey-prattville-al-2033855","beauty-services","Jefferson, AL"
