"heading","guestCapacity","startingPrice","address","city","state","phoneNumber","emailAddresses","websiteLink","facebookLink","instagramLink","pinterestLink","knotPageLink","category","location"
"The Willows at CALM","Up to 250","n/a","N/A","N/A","N/A","+116615468950","elgraff@kern.org","https://willowsatcalm.org/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/thewillowsatcalm","N/A","https://www.theknot.com/marketplace/the-willows-at-calm-bakersfield-ca-2075205","wedding-reception-venues","Fresno, CA"
"Buena Vista Event Center","300+","n/a","N/A","N/A","N/A","+115599991620","info@buenavista.events","https://buenavista.events/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/buenavistaeventcenter","http://www.instagram.com/BuenaVistaEventCenter","N/A","https://www.theknot.com/marketplace/buena-vista-event-center-madera-ca-2043294","wedding-reception-venues","Fresno, CA"
"The Eligon","Up to 200","n/a","N/A","N/A","N/A","+1(661) 873-4652","melissa@theeligon.com","http://www.theeligon.com","N/A","http://www.instagram.com/theeligon","N/A","https://www.theknot.com/marketplace/the-eligon-bakersfield-ca-2078739","wedding-reception-venues","Fresno, CA"
"Kingsburg Ranch","300+","n/a","N/A","N/A","N/A","+1(559) 802-7597","mandeepsandhu73@yahoo.com","https://www.kingsburgranch.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/kingsburgranch","http://www.instagram.com/https://www.instagram.com/kingsburgranch/","N/A","https://www.theknot.com/marketplace/kingsburg-ranch-kingsburg-ca-2065348","wedding-reception-venues","Fresno, CA"
"Dorner Family Vineyard at Indie Bird Events","N/A","n/a","N/A","N/A","N/A","+116612148266","hello@indiebirdevents.com","https://dornerfamilyvineyard.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/dornerfamilyvineyard/","http://www.instagram.com/dornerfamily","N/A","https://www.theknot.com/marketplace/dorner-family-vineyard-at-indie-bird-events-tehachapi-ca-2088923","wedding-reception-venues","Fresno, CA"
"Noriega House","Up to 300","n/a","N/A","N/A","N/A","+1(661) 633-9016","Noriegahouse@noriegaevents.com","http://www.noriegahouse.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/noriegahouse","N/A","N/A","https://www.theknot.com/marketplace/noriega-house-bakersfield-ca-338602","wedding-reception-venues","Fresno, CA"
"Ridge Creek Dinuba Golf Club & Event Center","Up to 300","n/a","N/A","N/A","N/A","+1(559) 591-7060","bangelo@kempersports.com","https://www.golfridgecreek.com/weddings-2/","https://www.facebook.com/ridgecreekdinubagolfclub","http://www.instagram.com/https://www.instagram.com/ridgecreekdgc/","N/A","https://www.theknot.com/marketplace/ridge-creek-dinuba-golf-club-and-event-center-dinuba-ca-611048","wedding-reception-venues","Fresno, CA"
"Hotel Mission de Oro","Up to 250","n/a","N/A","N/A","N/A","+1(209) 826-4444","sales@hotelmissiondeoro.com","https://www.hotelmissiondeoro.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/hotelmissiondeoro/","http://www.instagram.com/hotelmissiondeoro","http://www.pinterest.com/hotelmissiondeoro95322","https://www.theknot.com/marketplace/hotel-mission-de-oro-santa-nella-ca-1089355","wedding-reception-venues","Fresno, CA"
"Hourglass Hotel","Up to 300","n/a","N/A","N/A","N/A","+113233297922","sonny@hourglasshotel.com","https://www.hourglasshotel.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/hourglasshotel.bfd/?ref=page_internal","http://www.instagram.com/https://www.instagram.com/hourglasshotel","N/A","https://www.theknot.com/marketplace/hourglass-hotel-bakersfield-ca-2086610","wedding-reception-venues","Fresno, CA"
"Pardini's Catering & Banquets","300+","n/a","N/A","N/A","N/A","+1(559) 224-3188","N/A","N/A","https://www.facebook.com/pardiniscatering/","http://www.instagram.com/pardiniscatering","N/A","https://www.theknot.com/marketplace/pardinis-catering-and-banquets-fresno-ca-2079351","wedding-reception-venues","Fresno, CA"
"Kingsburg Historical Park","Up to 300","n/a","N/A","N/A","N/A","+1(559) 869-8320","kingsburghistoricalsociety1@gmail.com","http://www.kingsburghistoricalpark.org?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/profile.php?id=100063747994442","http://www.instagram.com/kingsburghistoricalpark","N/A","https://www.theknot.com/marketplace/kingsburg-historical-park-kingsburg-ca-2086537","wedding-reception-venues","Fresno, CA"
"River Center (San Joaquin River Parkway Trust)","Up to 250","n/a","N/A","N/A","N/A","+1(559) 248-8480,101","Jluviano@riverparkway.org","https://www.riverparkway.org/rentals/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/sjrpct/","http://www.instagram.com/riverparkwaytrust","N/A","https://www.theknot.com/marketplace/river-center-san-joaquin-river-parkway-trust-fresno-ca-1050616","wedding-reception-venues","Fresno, CA"
"The Lodge at Two Moons","300+","n/a","N/A","N/A","N/A","+1(559) 242-6466","shiloh@thelodgeatm.com","https://thelodgeattwomoons.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/TheLodgeAtTwoMoons/","http://www.instagram.com/thelodgeattwomoons","N/A","https://www.theknot.com/marketplace/the-lodge-at-two-moons-oakhurst-ca-2058952","wedding-reception-venues","Fresno, CA"
"Swan Lake Weddings and Events","300+","n/a","N/A","N/A","N/A","+1(559) 875-2277","marketingdirector@swanlakeweddingsandevents.com","https://www.swanlakeweddingsandevents.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/profile.php?id=61558938587545&mibextid=LQQJ4d","http://www.instagram.com/swanlakeweddingsandevents","N/A","https://www.theknot.com/marketplace/swan-lake-weddings-and-events-sanger-ca-2084604","wedding-reception-venues","Fresno, CA"
"Chateau du Sureau & Erna's Elderberry House Restaurant","Up to 100","n/a","N/A","N/A","N/A","+1(559) 683-6860","events@chateausureau.com","https://chateausureau.com/weddings-and-events/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/chateausureau/","http://www.instagram.com/https://www.instagram.com/chateausureau","N/A","https://www.theknot.com/marketplace/chateau-du-sureau-and-ernas-elderberry-house-restaurant-oakhurst-ca-248727","wedding-reception-venues","Fresno, CA"
"Toca Madera Winery","300+","n/a","N/A","N/A","N/A","+1(559) 474-8286","weddings@tocamaderawinery.com","http://www.tocamaderawinery.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/tocamaderawinery","http://www.instagram.com/@tocamaderawinery","N/A","https://www.theknot.com/marketplace/toca-madera-winery-madera-ca-1011786","wedding-reception-venues","Fresno, CA"
"Wyndham Hotel  Visalia","300+","n/a","N/A","N/A","N/A","+1(559) 651-5000,611","lhernandez@altamonthotels.com","https://www.wyndhamhotels.com/wyndham/visalia-california/wyndham-visalia/overview?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/WyndhamVisalia/","http://www.instagram.com/wyndhamhotelvisalia","N/A","https://www.theknot.com/marketplace/wyndham-hotel-visalia-visalia-ca-361652","wedding-reception-venues","Fresno, CA"
"137 Events","Up to 250","n/a","N/A","N/A","N/A","+1(559) 408-2533","137events@gmail.com","http://137events.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://facebook.com/137events","http://www.instagram.com/137events","N/A","https://www.theknot.com/marketplace/137-events-exeter-ca-2054688","wedding-reception-venues","Fresno, CA"
"Shaver Lake Village Hotel","N/A","n/a","N/A","N/A","N/A","+115598418289","shaver-lake-village-hotel-70a5e25fe240-the-knot@email-api.perfectvenue.com","https://www.shaverlakevillagehotel.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","N/A","N/A","https://www.theknot.com/marketplace/shaver-lake-village-hotel-shaver-lake-ca-2076485","wedding-reception-venues","Fresno, CA"
"The Manor Estate","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-manor-estate-madera-ca-987625","wedding-reception-venues","Fresno, CA"
"San Joaquin Winery","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/san-joaquin-winery-madera-ca-982462","wedding-reception-venues","Fresno, CA"
"Watermill Grove | Events at Koetsier","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/watermill-grove-|-events-at-koetsier-visalia-ca-2066934","wedding-reception-venues","Fresno, CA"
"Tuscan Gardens Venue","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/tuscan-gardens-venue-kingsburg-ca-510758","wedding-reception-venues","Fresno, CA"
"Brook Valley Rentals","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/brook-valley-rentals-visalia-ca-2071834","wedding-reception-venues","Fresno, CA"
"The Woodlands","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-woodlands-visalia-ca-2039676","wedding-reception-venues","Fresno, CA"
"Hotel Piccadilly","Up to 150","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/hotel-piccadilly-fresno-ca-301962","wedding-reception-venues","Fresno, CA"
"Evergreen Island","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/evergreen-island-tulare-ca-533414","wedding-reception-venues","Fresno, CA"
"The Grand 1401","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-grand-1401-fresno-ca-351830","wedding-reception-venues","Fresno, CA"
"Cedar View Winery","Up to 200","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/cedar-view-winery-sanger-ca-2004503","wedding-reception-venues","Fresno, CA"
"The Monday Club","Up to 100","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-monday-club-san-luis-obispo-ca-302707","wedding-reception-venues","Fresno, CA"
"Kern County Museum","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/kern-county-museum-bakersfield-ca-326589","wedding-reception-venues","Fresno, CA"
"Seven Oaks Ranch at Yosemite","Up to 100","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/seven-oaks-ranch-at-yosemite-ahwahnee-ca-2034077","wedding-reception-venues","Fresno, CA"
"JEH Ranch","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/jeh-ranch-bakersfield-ca-523562","wedding-reception-venues","Fresno, CA"
"Whitney's Wild Oak Ranch","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/whitneys-wild-oak-ranch-exeter-ca-2063802","wedding-reception-venues","Fresno, CA"
"Fresno Fields by Wedgewood Weddings","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/fresno-fields-by-wedgewood-weddings-fresno-ca-408527","wedding-reception-venues","Fresno, CA"
"Chapel Events","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/chapel-events-bakersfield-ca-2012088","wedding-reception-venues","Fresno, CA"
"The Margaux","Up to 200","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-margaux-madera-ca-2057411","wedding-reception-venues","Fresno, CA"
"Wuksachi Lodge in Sequoia National Park","Up to 100","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/wuksachi-lodge-in-sequoia-national-park-sequoia-national-park-ca-556273","wedding-reception-venues","Fresno, CA"
"Starlight Grove Events","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/starlight-grove-events-clovis-ca-2068068","wedding-reception-venues","Fresno, CA"
"The Monarch Club","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-monarch-club-nipomo-ca-336419","wedding-reception-venues","Fresno, CA"
"Rivernook Campground","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/rivernook-campground-kernville-ca-2009020","wedding-reception-venues","Fresno, CA"
"Engelmann Cellars","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/engelmann-cellars-fresno-ca-352496","wedding-reception-venues","Fresno, CA"
"SeaVenture Beach Hotel","Up to 200","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/seaventure-beach-hotel-pismo-beach-ca-325915","wedding-reception-venues","Fresno, CA"
"Hartley Farms","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/hartley-farms-san-miguel-ca-771657","wedding-reception-venues","Fresno, CA"
"Historic Seven Sycamores","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/historic-seven-sycamores-ivanhoe-ca-340159","wedding-reception-venues","Fresno, CA"
"Wonder Valley Ranch Resort","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/wonder-valley-ranch-resort-sanger-ca-278706","wedding-reception-venues","Fresno, CA"
"Andalin Ranch","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/andalin-ranch-reedley-ca-2035792","wedding-reception-venues","Fresno, CA"
"The 1903 Barn","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-1903-barn-riverdale-ca-2087853","wedding-reception-venues","Fresno, CA"
"The Buckhorn Ranch","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-buckhorn-ranch-paso-robles-ca-1050231","wedding-reception-venues","Fresno, CA"
"Petroleum Club at Sundale","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/petroleum-club-at-sundale-bakersfield-ca-445835","wedding-reception-venues","Fresno, CA"
"Bakersfield Music Hall of Fame","Up to 150","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/bakersfield-music-hall-of-fame-bakersfield-ca-1052420","wedding-reception-venues","Fresno, CA"
"Harris Ranch Inn & Restaurant","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/harris-ranch-inn-and-restaurant-coalinga-ca-223590","wedding-reception-venues","Fresno, CA"
"Copper River Country Club","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/copper-river-country-club-fresno-ca-324127","wedding-reception-venues","Fresno, CA"
"Visalia Marriott at the Convention Center","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/visalia-marriott-at-the-convention-center-visalia-ca-490135","wedding-reception-venues","Fresno, CA"
"Sycamore Mineral Springs Resort & Spa","Up to 50","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/sycamore-mineral-springs-resort-and-spa-san-luis-obispo-ca-620388","wedding-reception-venues","Fresno, CA"
"Sequoia Weddings - All Inclusive weddings & elopements","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/sequoia-weddings-all-inclusive-weddings-and-elopements-three-rivers-ca-2073216","wedding-reception-venues","Fresno, CA"
"The Hidden Garden","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-hidden-garden-bakersfield-ca-2059682","wedding-reception-venues","Fresno, CA"
"The Stones Throw","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-stones-throw-sanger-ca-2053555","wedding-reception-venues","Fresno, CA"
"Bass Lake Weddings","Up to 50","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/bass-lake-weddings-bass-lake-ca-2075779","wedding-reception-venues","Fresno, CA"
"7010 Park Place","Up to 50","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/7010-park-place-reedley-ca-2064367","wedding-reception-venues","Fresno, CA"
"Swan Court/Legends","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/swan-courtlegends-selma-ca-1027981","wedding-reception-venues","Fresno, CA"
"Hilton Garden Inn Bakersfield","Up to 150","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/hilton-garden-inn-bakersfield-bakersfield-ca-245125","wedding-reception-venues","Fresno, CA"
"The Coke Hallowell Center","Up to 250","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-coke-hallowell-center-fresno-ca-783136","wedding-reception-venues","Fresno, CA"
"Fresno Convention & Entertainment Center","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/fresno-convention-and-entertainment-center-fresno-ca-2002337","wedding-reception-venues","Fresno, CA"
"Visalia Convention Center","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/visalia-convention-center-visalia-ca-1090821","wedding-reception-venues","Fresno, CA"
"The Palomino Event Center","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/the-palomino-event-center-fresno-ca-2077113","wedding-reception-venues","Fresno, CA"
"Veater Ranch Venues","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/veater-ranch-venues-coarsegold-ca-2086476","wedding-reception-venues","Fresno, CA"
"Bello Vita Venue","Up to 300","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/bello-vita-venue-visalia-ca-2031156","wedding-reception-venues","Fresno, CA"
"G2 Ranch","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/g2-ranch-bakersfield-ca-2066647","wedding-reception-venues","Fresno, CA"
"Pelezzio","300+","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/pelezzio-bakersfield-ca-2032712","wedding-reception-venues","Fresno, CA"
"Kapptured Photography and Videography","N/A","n/a","N/A","N/A","N/A","+1(559) 908-2460","chris@kapptured.com","http://www.kapptured.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/kapptured","http://www.instagram.com/@kappturedphotography","N/A","https://www.theknot.com/marketplace/kapptured-photography-and-videography-fresno-ca-2047168","wedding-photographers","Fresno, CA"
"Lily & Lime","N/A","n/a","N/A","N/A","N/A","+1(866) 888-5377","info@lilyandlime.com","https://www.lilyandlime.com/?utm_source=Knot&utm_medium=Storefront&utm_campaign=Sacramento&utm_content=Weddings+Homepage&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/lilyandlimephoto","http://www.instagram.com/lilyandlimephoto","http://www.pinterest.com/lilylimephoto","https://www.theknot.com/marketplace/lily-and-lime-sacramento-ca-988987","wedding-photographers","Fresno, CA"
"George Street Photo & Video","N/A","n/a","N/A","N/A","N/A","+1(866) 831-4103","info@georgestreetphoto.com","https://www.georgestreetphoto.com/wedding-photographer/los-angeles?utm_source=Knot&utm_medium=Storefront&utm_content=Market+Page&utm_campaign=Los+Angeles&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/pages/george-street-photo-video/56756024359","http://www.instagram.com/georgestreetphoto","http://www.pinterest.com/georgestreetpv","https://www.theknot.com/marketplace/george-street-photo-and-video-los-angeles-ca-607667","wedding-photographers","Fresno, CA"
"SheBreathes Studios","N/A","n/a","N/A","N/A","N/A","+1(559) 903-7346","shebreathes@gmail.com","http://www.shebreathestudios.com","https://www.facebook.com/shebreathesstudios","http://www.instagram.com/https://www.instagram.com/shebreathestudios/","N/A","https://www.theknot.com/marketplace/shebreathes-studios-fresno-ca-644150","wedding-photographers","Fresno, CA"
"Connor Dunkle Photography","N/A","n/a","N/A","N/A","N/A","+1(559) 770-4812","cdunklephotography@gmail.com","http://connordunklephotography.mypixieset.com","https://www.facebook.com/profile.php?id=100089284064466","http://www.instagram.com/dunklephotography","N/A","https://www.theknot.com/marketplace/connor-dunkle-photography-clovis-ca-2039275","wedding-photographers","Fresno, CA"
"Megan McAllister Wedding Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/megan-mcallister-wedding-photography-bakersfield-ca-975032","wedding-photographers","Fresno, CA"
"DC PHOTOGRAPHY PHOTO + VIDEO","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/dc-photography-photo-+-video-fresno-ca-2003904","wedding-photographers","Fresno, CA"
"Stills By J. Lee","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/stills-by-j-lee-bakersfield-ca-2037880","wedding-photographers","Fresno, CA"
"Capture Life Events","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/capture-life-events-fresno-ca-990384","wedding-photographers","Fresno, CA"
"Alicja and Scout Photography & Videography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/alicja-and-scout-photography-and-videography-bakersfield-ca-846200","wedding-photographers","Fresno, CA"
"Diane Anderson Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/diane-anderson-photography-tehachapi-ca-514965","wedding-photographers","Fresno, CA"
"Melissa Brannon Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/melissa-brannon-photography-bakersfield-ca-2018535","wedding-photographers","Fresno, CA"
"Prince and Bard Productions","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/prince-and-bard-productions-clovis-ca-2012406","wedding-photographers","Fresno, CA"
"Luke & Jessica Photography","N/A","n/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.theknot.com/marketplace/luke-and-jessica-photography-bakersfield-ca-1029038","wedding-photographers","Fresno, CA"
