"heading","guestCapacity","startingPrice","address","city","state","phoneNumber","emailAddresses","websiteLink","facebookLink","instagramLink","pinterestLink","knotPageLink","category","location"
"Sheratons at Westport","300+","n/a","N/A","N/A","N/A","+1(314) 878-1500","Leads-WP@lhmchotels.com","http://www.sheratonwestport.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/sheratonwestport","http://www.instagram.com/sheratonatwestporteventsstl","N/A","https://www.theknot.com/marketplace/sheratons-at-westport-saint-louis-mo-876777","wedding-reception-venues","Kane, IL"
"Bogey Hills Country Club","300+","n/a","N/A","N/A","N/A","+1(636) 946-6250,202","sendres@bogeyhillscc.com","http://www.bogeyhillscc.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/bogeyhills","http://www.instagram.com/bogeyhillscc","http://www.pinterest.com/bogeyhillscc","https://www.theknot.com/marketplace/bogey-hills-country-club-saint-charles-mo-334861","wedding-reception-venues","Kane, IL"
"612North Event Space + Catering","300+","n/a","N/A","N/A","N/A","+1(314) 899-0612","events@612north.com","http://www.612north.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/612north/","http://www.instagram.com/612north","http://www.pinterest.com/612NorthEvents","https://www.theknot.com/marketplace/612north-event-space-+-catering-saint-louis-mo-891574","wedding-reception-venues","Kane, IL"
"The Falls","300+","n/a","N/A","N/A","N/A","+1(618) 281-3255","Ashley@seethefalls.com","http://www.seethefalls.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/TheFallsColumbia/","http://www.instagram.com/https://www.instagram.com/thefallscolumbia/","N/A","https://www.theknot.com/marketplace/the-falls-columbia-il-2001093","wedding-reception-venues","Kane, IL"
"Andre's at Sunset Hill","Up to 250","n/a","N/A","N/A","N/A","+113144482414","aimee@andresbanquet.com","https://andresbanquet.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/people/Andres-Banquets-Catering/100063665373921/","http://www.instagram.com/andresbanquets","N/A","https://www.theknot.com/marketplace/andres-at-sunset-hill-saint-louis-mo-2085757","wedding-reception-venues","Kane, IL"
"New Town Event Planning","Up to 250","n/a","N/A","N/A","N/A","+1(636) 288-7332","weddings@newtownatstcharles.com","http://newtowneventplanning.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/newtownweddingsandevents","http://www.instagram.com/new_town_weddingsandevents","N/A","https://www.theknot.com/marketplace/new-town-event-planning-saint-charles-mo-530040","wedding-reception-venues","Kane, IL"
"Hilton St. Louis at the Ballpark","Up to 300","n/a","N/A","N/A","N/A","+1(314) 421-1776,2726","mstauffer@lhmc.com","https://www.hilton.com/en/hotels/stlbvhf-hilton-st-louis-at-the-ballpark/","https://www.facebook.com/Hilton/","http://www.instagram.com/HiltonHotels","N/A","https://www.theknot.com/marketplace/hilton-st-louis-at-the-ballpark-saint-louis-mo-2083642","wedding-reception-venues","Kane, IL"
"Live! by Loews St. Louis","Up to 300","n/a","N/A","N/A","N/A","+1(314) 597-9678","sydney.gamble@loewshotels.com","https://www.loewshotels.com/live-by-loews-st-louis-missouri?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","N/A","N/A","https://www.theknot.com/marketplace/live-by-loews-st-louis-saint-louis-mo-2039864","wedding-reception-venues","Kane, IL"
"Old Rock House","300+","n/a","N/A","N/A","N/A","+1(314) 852-0998","parties@oldrockhouse.com","https://oldrockhouse.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/oldrockhouse","http://www.instagram.com/oldrockhousestl","N/A","https://www.theknot.com/marketplace/old-rock-house-saint-louis-mo-608095","wedding-reception-venues","Kane, IL"
"The Westin St. Louis","Up to 250","n/a","N/A","N/A","N/A","+1(314) 621-2000","Anna.Chism@westinstlouishotel.com","https://www.marriott.com/hotels/event-planning/wedding-planning/stlwi-the-westin-st-louis/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/westinstlouisweddings","http://www.instagram.com/thepromenadebywestin","N/A","https://www.theknot.com/marketplace/the-westin-st-louis-saint-louis-mo-633809","wedding-reception-venues","Kane, IL"
"Chaumette Vineyards & Winery","Up to 250","n/a","N/A","N/A","N/A","+1(573) 747-1000,115","Emily@chaumette.com","http://www.missourirusticwedding.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/chaumettewinery","http://www.instagram.com/ChaumetteWinery","http://www.pinterest.com/ChaumetteWinery","https://www.theknot.com/marketplace/chaumette-vineyards-and-winery-ste-genevieve-mo-572149","wedding-reception-venues","Kane, IL"
"The Christy Banquet Centers","300+","n/a","N/A","N/A","N/A","+1(314) 352-4800","cater5856@aol.com","http://www.thechristy.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/pages/the-christy-banquet-center-catering/117154481636115","http://www.instagram.com/thechristycatering","N/A","https://www.theknot.com/marketplace/the-christy-banquet-centers-st-louis-mo-541966","wedding-reception-venues","Kane, IL"
"The Legends","Up to 200","n/a","N/A","N/A","N/A","+1(636) 938-6295,1102","mhanna@heritagegolfgroup.com","http://www.thelegendsgolf.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/thelegendsgolf","http://www.instagram.com/Legendsevents","N/A","https://www.theknot.com/marketplace/the-legends-eureka-mo-636023","wedding-reception-venues","Kane, IL"
"The Thaxton","Up to 150","n/a","N/A","N/A","N/A","+1(314) 452-2249","info@thethaxton.com, jrichmond7@hotmail.com","http://www.thethaxton.com","https://www.facebook.com/pages/the-thaxton-building/134192903286999","http://www.instagram.com/TheThaxtonSTL","http://www.pinterest.com/TheThaxton","https://www.theknot.com/marketplace/the-thaxton-saint-louis-mo-341005","wedding-reception-venues","Kane, IL"
"Royale Orleans","300+","n/a","N/A","N/A","N/A","+1(314) 487-7006","info@royaleorleans.com","http://www.royaleorleans.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/royaleorleans","http://www.instagram.com/royaleorleans","N/A","https://www.theknot.com/marketplace/royale-orleans-st-louis-mo-311748","wedding-reception-venues","Kane, IL"
"Grbic Events","300+","n/a","N/A","N/A","N/A","+1(314) 772-3100","grbicevents@gmail.com","http://www.grbicevents.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/grbicprivateevents","http://www.instagram.com/grbicweddings_events/","http://www.pinterest.com/https://www.pinterest.com/grbicevents/","https://www.theknot.com/marketplace/grbic-events-saint-louis-mo-875726","wedding-reception-venues","Kane, IL"
"SqWires Annex & Front Room","Up to 150","n/a","N/A","N/A","N/A","+1(314) 865-3522","location27245@knotleads.tripleseat.com","http://www.sqwires.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/sqwires","http://www.instagram.com/sqwiresevents","http://www.pinterest.com/sqwiresevents","https://www.theknot.com/marketplace/sqwires-annex-and-front-room-saint-louis-mo-389019","wedding-reception-venues","Kane, IL"
"Seven T Farms","300+","n/a","N/A","N/A","N/A","+1(314) 225-9735","events@seventfarms.com","http://seventfarms.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/seventfarms/","N/A","N/A","https://www.theknot.com/marketplace/seven-t-farms-sullivan-mo-1086430","wedding-reception-venues","Kane, IL"
"Four Seasons Hotel St. Louis","300+","n/a","N/A","N/A","N/A","+1(314) 881-2032","dylan.becker@fourseasons.com","http://www.fourseasons.com/stlouis/weddings/","https://www.facebook.com/FourSeasonsHotelStLouis/","http://www.instagram.com/@fsstlouis","http://www.pinterest.com/@fsstlouis","https://www.theknot.com/marketplace/four-seasons-hotel-st-louis-saint-louis-mo-877017","wedding-reception-venues","Kane, IL"
"Garden Grove Event Center","300+","n/a","N/A","N/A","N/A","+1(618) 727-4436","gardengroveeventcenter@gmail.com","http://www.gardengroveeventcenter.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/gardengroveeventcenter","N/A","N/A","https://www.theknot.com/marketplace/garden-grove-event-center-carbondale-il-602965","wedding-reception-venues","Kane, IL"
"Hollywood Casino St. Louis","Up to 200","n/a","N/A","N/A","N/A","+1(314) 388-7811","claire.toal@pngaming.com","https://www.hollywoodcasinostlouis.com/meetings-and-events/weddings?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/HollywoodCasinoSTL","http://www.instagram.com/https://www.instagram.com/hollywoodstlouis/","N/A","https://www.theknot.com/marketplace/hollywood-casino-st-louis-maryland-heights-mo-982590","wedding-reception-venues","Kane, IL"
"Innsbrook Resort","300+","n/a","N/A","N/A","N/A","+1(636) 928-3366,9884","claire.renna@innsbrook-resort.com","https://innsbrook-resort.com/discover/weddings-events/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/InnsbrookWeddings","http://www.instagram.com/innsbrookresort","http://www.pinterest.com/innsbrookresort","https://www.theknot.com/marketplace/innsbrook-resort-innsbrook-mo-248811","wedding-reception-venues","Kane, IL"
"Little Piney","Up to 200","n/a","N/A","N/A","N/A","+1(636) 561-8615","littlepineylodge@gmail.com","http://www.littlepineylodge.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/littlepineylodge/","http://www.instagram.com/@littlepineylodge","N/A","https://www.theknot.com/marketplace/little-piney-hermann-mo-568332","wedding-reception-venues","Kane, IL"
"Lost Hill Lake Events","Up to 250","n/a","N/A","N/A","N/A","+1(636) 224-8004","marketing@losthilllakeevents.com","https://www.losthilllakeevents.com/","https://www.facebook.com/LostHillLake","http://www.instagram.com/LostHillLakeEvents","http://www.pinterest.com/losthilllake","https://www.theknot.com/marketplace/lost-hill-lake-events-saint-clair-mo-626603","wedding-reception-venues","Kane, IL"
"Highland Knights of Columbus","300+","n/a","N/A","N/A","N/A","+1(618) 971-6225","kjw@tntplus.com","https://www.highlandkc.org/columbus-club","N/A","N/A","N/A","https://www.theknot.com/marketplace/highland-knights-of-columbus-highland-il-2079245","wedding-reception-venues","Kane, IL"
"Sheldon Concert Hall and Art Galleries","300+","n/a","N/A","N/A","N/A","+1(314) 533-9900,11","events@thesheldon.org","http://www.thesheldon.org","https://www.facebook.com/thesheldon","http://www.instagram.com/sheldonstl","N/A","https://www.theknot.com/marketplace/sheldon-concert-hall-and-art-galleries-st-louis-mo-339187","wedding-reception-venues","Kane, IL"
"Norwood Hills Country Club","Up to 300","n/a","N/A","N/A","N/A","+1(314) 521-0682,206","agness@norwoodhills.com","https://www.norwoodhills.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/norwoodhills","N/A","https://www.theknot.com/marketplace/norwood-hills-country-club-st-louis-mo-2057720","wedding-reception-venues","Kane, IL"
"Hilton St. Louis Frontenac","300+","n/a","N/A","N/A","N/A","+1(314) 824-6016","bridget.mccracken@hilton.com","http://www.stlouisfrontenac.hilton.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/HiltonStLouisFrontenac/","N/A","N/A","https://www.theknot.com/marketplace/hilton-st-louis-frontenac-saint-louis-mo-582977","wedding-reception-venues","Kane, IL"
"Andre's West","300+","n/a","N/A","N/A","N/A","+113146915650","liz@andresbanquet.com","http://www.andresbanquet.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/profile.php?id=100063665373921","N/A","N/A","https://www.theknot.com/marketplace/andres-west-fenton-mo-2034819","wedding-reception-venues","Kane, IL"
"Hyatt Regency St. Louis at The Arch","300+","n/a","N/A","N/A","N/A","+1(314) 342-4655","Madison.Zoroya@hyatt.com","https://www.hyatt.com/en-US/hotel/missouri/hyatt-regency-st-louis-at-the-arch/stlrs/special-events/weddings","http://www.facebook.com/hyattregencystlouisatthearch","http://www.instagram.com/hyattstl","N/A","https://www.theknot.com/marketplace/hyatt-regency-st-louis-at-the-arch-saint-louis-mo-222938","wedding-reception-venues","Kane, IL"
"The Royal Sonesta Chase Park Plaza St. Louis","300+","n/a","N/A","N/A","N/A","+113146333000","harain@sonesta.com","https://www.sonesta.com/us/missouri/st-louis/chase-park-plaza-royal-sonesta-st-louis/weddings?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/chaseparkplaza","http://www.instagram.com/chaseparkplaza","N/A","https://www.theknot.com/marketplace/the-royal-sonesta-chase-park-plaza-st-louis-saint-louis-mo-365717","wedding-reception-venues","Kane, IL"
"Le Meridien St. Louis Clayton","300+","n/a","N/A","N/A","N/A","+1(314) 719-4308,7015","angela.powers@lemeridienclayton.com","https://www.marriott.com/hotels/travel/stlmy-le-meridien-st-louis-clayton/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/lemeridienstlclayton/","http://www.instagram.com/@lemeridienstlclayton","http://www.pinterest.com/@lemeridienclayton","https://www.theknot.com/marketplace/le-meridien-st-louis-clayton-clayton-mo-2039271","wedding-reception-venues","Kane, IL"
"Water's Edge Banquet Center","Up to 300","n/a","N/A","N/A","N/A","+1(636) 279-8271,1","events@stpetersmo.net","http://www.watersedgebanquetcenter.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/Waters-Edge-Banquet-Center-at-St-Peters-Golf-Club-2012291625735628/","http://www.instagram.com/waters_edge_banquet_center","N/A","https://www.theknot.com/marketplace/waters-edge-banquet-center-st-peters-mo-2010729","wedding-reception-venues","Kane, IL"
"LiUNA Event Center","300+","n/a","N/A","N/A","N/A","+1(314) 226-1010","Nancy@Liunacenter.com, Nancy@liunacenter.com","http://www.liunaeventcenter.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/liunaeventcenter","http://www.instagram.com/https://www.instagram.com/liunaec?igsh=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr","N/A","https://www.theknot.com/marketplace/liuna-event-center-st-louis-mo-867512","wedding-reception-venues","Kane, IL"
"Orlando's Event and Conference Centers","300+","n/a","N/A","N/A","N/A","+1(314) 453-9000","morlando@orlandogardens.com","http://www.orlandogardens.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/orlandobanquets","http://www.instagram.com/Orlandobanquets","http://www.pinterest.com/Orlandobanquets","https://www.theknot.com/marketplace/orlandos-event-and-conference-centers-maryland-heights-mo-882783","wedding-reception-venues","Kane, IL"
"River City Casino & Hotel - St. Louis","300+","n/a","N/A","N/A","N/A","+1(314) 388-7811","carly.satkowiak@pennentertainment.com","https://www.rivercity.com/meetings/weddings/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/rivercitycasino#!/rivercitycasino","http://www.instagram.com/rivercitycasino","N/A","https://www.theknot.com/marketplace/river-city-casino-and-hotel-st-louis-saint-louis-mo-571291","wedding-reception-venues","Kane, IL"
"The Regency Conference Center","300+","n/a","N/A","N/A","N/A","+1(618) 726-0206","jlashley@hmahotels.com","https://theregencyofallon.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/?ref=tn_tnmn#!/theregencyconferencecenter","http://www.instagram.com/regencyconf","N/A","https://www.theknot.com/marketplace/the-regency-conference-center-ofallon-il-554613","wedding-reception-venues","Kane, IL"
